title,author,url
"Yule: Rituals, Recipes & Lore for the Winter Solstice (Llewellyn's Sabbat Essentials)","Llewellyn, Susan Pesznecker",www.abebooks.com/servlet/BookDetailsPL?bi=32374974462&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_7-_-bdp
"Yule: Rituals, Recipes & Lore for the Winter Solstice (Llewellyn's Sabbat Essentials)","Llewellyn, Susan Pesznecker",www.abebooks.com/servlet/BookDetailsPL?bi=32369999869&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_8-_-bdp
The Old Magic of Christmas: Yuletide Traditions for the Darkest Days of the Year,Linda Raedisch,www.abebooks.com/servlet/BookDetailsPL?bi=32373134659&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_9-_-bdp
Spell Crafts: Creating Magical Objects,"Scott Cunningham, David Harrington",www.abebooks.com/servlet/BookDetailsPL?bi=32311790053&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_10-_-bdp
Cunningham's Encyclopedia of Wicca in the Kitchen,Scott Cunningham,www.abebooks.com/servlet/BookDetailsPL?bi=32382177754&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_11-_-bdp
"Lughnasadh: Rituals, Recipes, and Lore for Lammas (Llewellyn's Sabbat Essentials)","Llewellyn, Melanie Marquis",www.abebooks.com/servlet/BookDetailsPL?bi=31884592354&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_12-_-bdp
"Samhain: Rituals, Recipes & Lore for Halloween (Llewellyn's Sabbat Essentials)","Llewellyn, Diana Rajchel",www.abebooks.com/servlet/BookDetailsPL?bi=32272750734&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_13-_-bdp
"Beltane: Rituals, Recipes & Lore for May Day (Llewellyn's Sabbat Essentials)","Llewellyn, Melanie Marquis",www.abebooks.com/servlet/BookDetailsPL?bi=32379659368&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_14-_-bdp
"Ostara: Rituals, Recipes & Lore for the Spring Equinox (Llewellyn's Sabbat Essentials)","Kerri Connor,Llewellyn",www.abebooks.com/servlet/BookDetailsPL?bi=31796618040&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_15-_-bdp
"Lughnasadh: Rituals, Recipes, and Lore for Lammas (Llewellyn's Sabbat Essentials)","Llewellyn, Melanie Marquis",www.abebooks.com/servlet/BookDetailsPL?bi=31937136602&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_16-_-bdp
"Midsummer: Rituals, Recipes, and Lore for Litha (Llewellyn's Sabbat Essentials)","Llewellyn, Deborah Blake",www.abebooks.com/servlet/BookDetailsPL?bi=32200496103&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_17-_-bdp
Practical Candleburning Rituals: Spells and Rituals for Every Purpose (Llewellyn's Practical Magi...,Raymond Buckland,www.abebooks.com/servlet/BookDetailsPL?bi=32318090984&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_18-_-bdp
Witch's Guide to Faery Folk (Llewellyn's New Age Series),Edain McCoy,www.abebooks.com/servlet/BookDetailsPL?bi=31679830007&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_19-_-bdp
Wisdom of Hypatia: Ancient Spiritual Practices for a More Meaningful Life,Bruce J MacLennan,www.abebooks.com/servlet/BookDetailsPL?bi=32374133356&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_20-_-bdp
Llewellyn's Witches' Companion: An Almanac for Contemporary Living (2015),Llewellyn,www.abebooks.com/servlet/BookDetailsPL?bi=32323547747&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_21-_-bdp
World of Wizards: Modern Magical Tools and Ancient Traditions,"Anton Adams,Mina Adams",www.abebooks.com/servlet/BookDetailsPL?bi=32207054982&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_22-_-bdp
Llewellyn's 2016 Witches' Companion: An Almanac for Contemporary Living,"Tess Whitehurst,Llewellyn,James Kambos,Barbara Ardinger,B...",www.abebooks.com/servlet/BookDetailsPL?bi=32323545789&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_23-_-bdp
Llewellyn's Witches' Companion: An Almanac for Everyday Living (2014),Llewellyn,www.abebooks.com/servlet/BookDetailsPL?bi=32323542067&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_24-_-bdp
Little Book of Money Spells,Sophia,www.abebooks.com/servlet/BookDetailsPL?bi=31456634984&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_25-_-bdp
Norse Magic,D.J. Conway,www.abebooks.com/servlet/BookDetailsPL?bi=32395570224&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_26-_-bdp
Manuel de Paléographie Latine et Française du VIe au XVIIe siecle suivi d'un dictionnaire des abr...,Maurice Prou,www.abebooks.com/servlet/BookDetailsPL?bi=31815624913&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_1-_-bdp
Cours Elementaire de Physique : Quatrieme edition (1901) revue et modifiee avec 473 figures dans ...,E. Fernet,www.abebooks.com/servlet/BookDetailsPL?bi=31543456023&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_2-_-bdp
Hydraulics of Culverts,"Hendrickson Jr., John G.",www.abebooks.com/servlet/BookDetailsPL?bi=31540306571&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_3-_-bdp
Hydraulic Handbook : Fundamental Hydraulics and Data useful in the solution of pump application p...,"Fairbanks, Morse & Co.",www.abebooks.com/servlet/BookDetailsPL?bi=31540303541&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_4-_-bdp
Les machines transformatrices d'energie [ 2 volume set ] : Tome 1 Resistances passives thermodyna...,G. Lemasson,www.abebooks.com/servlet/BookDetailsPL?bi=32349924695&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_5-_-bdp
"American Highway Practice, Volume II","Hewes, Laurence",www.abebooks.com/servlet/BookDetailsPL?bi=31540308405&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_6-_-bdp
"Irrigation Practice and Engineering, Volume II: Conveyance of Water. General Considerations and F...",B.A. Etcheverry,www.abebooks.com/servlet/BookDetailsPL?bi=31540311991&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_7-_-bdp
"Catalogue Antonios Z. De Jean Paul Veyssiere - Livres Anciens : Beaux Arts, Litterature du XVIe a...",Jean Paul Veyssiere,www.abebooks.com/servlet/BookDetailsPL?bi=32164058288&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_8-_-bdp
Structural Design,"Sutherland, Hale and Harry Lake Bowman",www.abebooks.com/servlet/BookDetailsPL?bi=31540308404&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_9-_-bdp
Sewerage and Sewage Treatment,"Babbitt, Harold",www.abebooks.com/servlet/BookDetailsPL?bi=31540306570&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_10-_-bdp
Arithmetique du Brevet elementaire avec complements pour le Brevet superieur,A. Marijon et A. Pequignot,www.abebooks.com/servlet/BookDetailsPL?bi=31540313462&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_11-_-bdp
Hydraulics,"Russell, George",www.abebooks.com/servlet/BookDetailsPL?bi=31540300726&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_12-_-bdp
An Introduction to the Calculus based on Graphical Methods,George A. Gibson,www.abebooks.com/servlet/BookDetailsPL?bi=32323274933&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_13-_-bdp
Design Manual for High Strength Steels,"Priest, H. Malcolm and John A. Gilligan",www.abebooks.com/servlet/BookDetailsPL?bi=31543451129&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_14-_-bdp
"Public Water Supplies : Requirements, Resources, and the Construction of Works","Turneaure, F.E. and H.L. Russell",www.abebooks.com/servlet/BookDetailsPL?bi=31544744961&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_15-_-bdp
"Pump Engineering Data, 1955",Economy Pumps,www.abebooks.com/servlet/BookDetailsPL?bi=31540306569&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_16-_-bdp
Electric Light Wiring,"Knox, C. E.",www.abebooks.com/servlet/BookDetailsPL?bi=31540310087&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_17-_-bdp
Bibliothèque du doctorat en médecine (troisieme examen) : précis de pathologie interne - maladie ...,"Loeper, Paisseau, Josue, Paillard",www.abebooks.com/servlet/BookDetailsPL?bi=31923949727&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_18-_-bdp
Surveyors' Field-Note Forms,"Bardsley, Clarence and Ernest Carlton",www.abebooks.com/servlet/BookDetailsPL?bi=31540308395&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_19-_-bdp
Formulaire Usuel et Complet de Procédure Civile et Commerciale Comprenant Tous les Actes Judiciai...,F. Jeannin,www.abebooks.com/servlet/BookDetailsPL?bi=31840683287&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_20-_-bdp
"Traité-formulaire de procédure pratique en matière civile, commerciale, criminelle, administrativ...",Isaure-Toulouse,www.abebooks.com/servlet/BookDetailsPL?bi=31923952706&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_21-_-bdp
Lamson Blue Book No. 41 (1940),"Lamson & Sessions Co. (Cleveland, Ohio)",www.abebooks.com/servlet/BookDetailsPL?bi=31540308674&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_22-_-bdp
Properties of Engineering Materials,"Murphy, Glenn",www.abebooks.com/servlet/BookDetailsPL?bi=31540299701&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_23-_-bdp
"Costanoan : Mission San Jose High School (Fremont, California), Class of 1970","Yearbook Staff, Mission San Jose High School, Class of 1970",www.abebooks.com/servlet/BookDetailsPL?bi=31540300708&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_24-_-bdp
Surveying Theory and Practice,Raymond E. Davis and Francis S. Foote,www.abebooks.com/servlet/BookDetailsPL?bi=31547654033&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_25-_-bdp
How To Be An Effective Teacher : The First Days Of School,Harry K. Wong; Rosemary T. Wong,www.abebooks.com/servlet/BookDetailsPL?bi=31544208788&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_26-_-bdp
Géographie de la France et de ses colonies (cours moyen) - Nouvelle édition,E. Levasseur,www.abebooks.com/servlet/BookDetailsPL?bi=32065900406&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_27-_-bdp
"Trojan 1956 : Yearbook of Troy High School (Troy, Montana)",Larry Perry and other members of the Yearbook Staff,www.abebooks.com/servlet/BookDetailsPL?bi=31540317155&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_28-_-bdp
Histoire de France Illustree,Jacques Beauregard,www.abebooks.com/servlet/BookDetailsPL?bi=31692079297&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_29-_-bdp
Le lycée Descartes histoire d'un établissement d'enseignement à Tours (1807-2007) Edition du bice...,Michel Laurencin,www.abebooks.com/servlet/BookDetailsPL?bi=31755200595&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_30-_-bdp
Guide to the Sources of Medieval History,"Van Caenegem, R. C.",www.abebooks.com/servlet/BookDetailsPL?bi=31540299698&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_31-_-bdp
Elements of Style (with Index),"William Strunk, Jr.; E. B. White",www.abebooks.com/servlet/BookDetailsPL?bi=31543452147&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_32-_-bdp
Dictionary Of Yiddish Slang & Idioms,"Kogos, Fred",www.abebooks.com/servlet/BookDetailsPL?bi=31543446557&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_33-_-bdp
Cultural Literacy: What Every American Needs to Know,"Hirsch, E.D.;Kett, Joseph F.;Trefil, James S.",www.abebooks.com/servlet/BookDetailsPL?bi=31543455948&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_34-_-bdp
Manual in the Testing of Materials,"Tucker, Harry",www.abebooks.com/servlet/BookDetailsPL?bi=31540306559&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_35-_-bdp
Les incroyables pouvoirs de l'argile qui guerit - 2019 edition revue et augmentee par Pascal Labbe,Raymond Dextreit,www.abebooks.com/servlet/BookDetailsPL?bi=32403986262&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_36-_-bdp
Le guide de la VAE Auxiliaire de puériculture,"Bouchaillou, Béatrice; Saget, Muriel",www.abebooks.com/servlet/BookDetailsPL?bi=32403995322&cm_sp=collections-_-6eMQLoXlUy3fx2EJrrI92h_item_1_37-_-bdp
